ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown
115,simple,oven-ready-butter-croissants,,Oven-Ready Butter Croissants,1,0,visible,"Flaky, buttery croissants ready to bake fresh at home.","Layered with creamy butter and frozen for your convenience, these croissants bake into golden, flaky perfection. A bakery-quality treat fresh from your oven.",,,taxable,,1,,,0,0,,,,,1,,7.75,9.95,Bakery > Frozen Pastries,"breakfast, buttery, croissants, frozen, ready-to-bake",,https://cdn.madrasthemes.com/groceria/images/products/oven-ready-butter-croissants.webp,,,,,,,,,0,,Size,"2 pcs, 4 pcs, 6 pcs",0,0,Nutriscore,D,0,0,
116,simple,celebration-cupcakes,,Celebration Cupcakes,1,0,visible,"Colorful, frosted treats that make every day a party.","Whimsical and sweet, these frosted cupcakes are topped with colorful sprinkles and party-ready cheer. Perfect for birthdays or any little celebration.",,,taxable,,1,,,0,0,,,,,1,,9.5,12,Bakery > Cakes & Cupcakes,"celebration, cupcakes, dessert, frosted, party treats",,https://cdn.madrasthemes.com/groceria/images/products/celebration-cupcakes.webp,,,,,,,,,0,,Size,"4 pcs, 6 pcs, 12 pcs",0,0,Nutriscore,E,0,0,
147,simple,oatmeal-raisin-cookies,,Oatmeal Raisin Cookies,1,0,visible,"Soft, chewy, and packed with hearty oats and sweet raisins.","Soft, chewy, and warmly spiced, these cookies blend hearty oats and plump raisins. A comforting, classic treat with home-baked charm.",,,taxable,,1,,,0,0,,,,,1,,5.95,7.5,Bakery > Cookies,"chewy, classic snack, cookies, oatmeal, raisin",,https://cdn.madrasthemes.com/groceria/images/products/oatmeal-raisin-cookies.webp,,,,,,,,,0,,Size,"6 pcs, 12 pcs, 24 pcs",0,0,Nutriscore,D,0,0,
148,simple,seven-layer-cake,,Seven Layer Cake,1,0,visible,"A decadent dessert stacked with rich, indulgent layers.","A showstopping dessert stacked high with rich layers of cake, cream, and chocolate. Every slice is a blend of textures and indulgence.",,,taxable,,1,,,0,0,,,,,1,,13.75,16.95,Bakery > Cakes & Cupcakes,"bakery, cake, chocolate, dessert, layered",,https://cdn.madrasthemes.com/groceria/images/products/seven-layer-cake.webp,,,,,,,,,0,,Size,"250g slice, 500g, 1kg",0,0,Nutriscore,E,0,0,
149,simple,local-bunched-spinach,,Local Bunched Spinach,1,0,visible,"Fresh-picked leafy greens, rich in flavor and nutrients.","Hand-harvested from nearby farms, this spinach is tender, vibrant, and nutrient-dense. Ideal for fresh salads or quick sautés.",,,taxable,,1,,,0,0,,,,,1,,2.5,3.5,Produce > Leafy Greens,"fresh, iron-rich, leafy greens, local produce, spinach",,https://cdn.madrasthemes.com/groceria/images/products/local-bunched-spinach.webp,,,,,,,,,0,,Size,"100g, 250g, bunch",0,0,Nutriscore,A,0,0,
150,simple,organic-valley-half-and-half,,Organic Valley Half & Half,1,0,visible,Creamy and smooth — perfect for coffee or cooking.,"A creamy, luxurious blend of organic milk and cream. Whether enriching coffee or elevating recipes, it brings farm-fresh richness to your kitchen.",,,taxable,,1,,,0,0,,,,,1,,3.75,4.95,Dairy > Cream,"creamer, dairy, half & half, milk blend, organic",,https://cdn.madrasthemes.com/groceria/images/products/organic-valley-half-and-half.webp,,,,,,,,,0,,Size,"250ml, 500ml, 1L",0,0,Nutriscore,C,0,0,
151,simple,boneless-skinless-chicken-breast,,Boneless Skinless Chicken Breast,1,0,visible,"Lean, tender chicken — ideal for grilling, baking, or pan-frying.","Lean, tender, and ready to cook — these chicken breasts are a healthy protein choice for grilling, stir-frying, or oven-roasting.",,,taxable,,1,,,0,0,,,,,1,,9.25,11.5,Meat & Seafood > Poultry,"boneless, chicken breast, fresh meat, lean protein",,https://cdn.madrasthemes.com/groceria/images/products/boneless-skinless-chicken-breast.webp,,,,,,,,,0,,Size,"500g, 1kg, 1.5kg",0,0,Nutriscore,A,0,0,
152,simple,simply-low-fat-cottage-cheese,,Simply Low-Fat Cottage Cheese,1,0,visible,"Light, creamy, and packed with protein.","Creamy, satisfying, and full of protein — this low-fat cottage cheese offers a smooth texture with a hint of tang. Great as a snack or topping.",,,taxable,,1,,,0,0,,,,,1,,3.99,5.25,Dairy > Cheese & Yogurt,"cottage cheese, creamy, dairy, low fat, snack",,https://cdn.madrasthemes.com/groceria/images/products/simply-low-fat-cottage-cheese.webp,,,,,,,,,0,,Size,"200g, 400g, 800g",0,0,Nutriscore,B,0,0,
153,simple,unsweetened-plastic-bottle,,"Unsweetened, Plastic Bottle",1,0,visible,"Pure and clean refreshment — no sugar, no fuss.","Clean hydration in a convenient bottle — this unsweetened drink is free from sugars and additives, offering pure refreshment on the go. (Assumed to be water or tea.)",,,taxable,,1,,,0,0,,,,,1,,2.95,3.95,Beverages,"beverage, bottled, natural, no sugar, unsweetened drink",,https://cdn.madrasthemes.com/groceria/images/products/unsweetened-plastic-bottle.webp,,,,,,,,,0,,Size,"500ml, 1L, 2L",0,0,Nutriscore,A,0,0,
154,simple,raos-homemade-marinara-sauce,,Rao'sHomemade Marinara Sauce,1,0,visible,"Slow-simmered, classic Italian flavor in every spoonful.","Crafted from slow-simmered tomatoes, olive oil, garlic, and herbs, Rao’s brings old-world Italian flavor straight to your table. No shortcuts, just tradition.",,,taxable,,1,,,0,0,,,,,1,,7.25,9.5,Grocery > Pasta & Sauces,"italian, jarred, marinara, pasta sauce, tomato",,https://cdn.madrasthemes.com/groceria/images/products/raos-homemade-marinara-sauce.webp,,,,,,,,,0,,Size,"350g, 500g, 1kg",0,0,Nutriscore,B,0,0,
155,simple,organic-whole-milk,,Organic Whole Milk,1,0,visible,"Rich, creamy, and wholesome — straight from organic farms.","Full-bodied and velvety, this organic whole milk delivers farm-fresh creaminess with every pour. Ideal for cereals, baking, or enjoying by the glass.",,,taxable,,1,,,0,0,,,,,1,,4.25,5.25,Dairy > Milk,"calcium-rich, dairy, milk, organic, whole milk",,https://cdn.madrasthemes.com/groceria/images/products/organic-whole-milk.webp,,,,,,,,,0,,Size,"500ml, 1L, 2L",0,0,Nutriscore,B,0,0,
156,simple,armenian-cucumber,,Armenian Cucumber,1,0,visible,Crisp and mild with a refreshing crunch — perfect for salads and snacking.,"Long, ridged, and refreshingly mild, Armenian cucumbers are delightfully crisp with a hint of melon-like sweetness. Perfect raw or pickled.",,,taxable,,1,,,0,0,,,,,1,,2.25,2.95,Produce > Vegetables,"armenian, crunchy, cucumber, fresh produce, salad",,https://cdn.madrasthemes.com/groceria/images/products/armenian-cucumber.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, 4 pcs",0,0,Nutriscore,A,0,0,
157,simple,fage-creamy-dreamy-banana-cream,,"Fage Creamy Dreamy, Banana Cream",1,0,visible,Thick Greek yogurt with rich banana cream indulgence.,Ultra-thick Greek yogurt layered with luscious banana cream. A dreamy treat that balances rich indulgence with wholesome satisfaction.,,,taxable,,1,,,0,0,,,,,1,,5,6.5,Dairy > Yogurt,"banana flavor, creamy, dairy snack, dessert-style, yogurt",,https://cdn.madrasthemes.com/groceria/images/products/fage-creamy-dreamy-banana-cream.webp,,,,,,,,,0,,Size,"150g, 200g, 400g",0,0,Nutriscore,B,0,0,
158,simple,green-cauliflower,,Green Cauliflower,1,0,visible,"A colorful twist on a classic veggie — mild, crisp, and great for roasting.","A vibrant, naturally colorful twist on traditional cauliflower. Its sweet, mild flavor makes it perfect for roasting or vibrant veggie platters.",,,taxable,,1,,,0,0,,,,,1,,4.75,6.25,Produce > Vegetables,"cauliflower, cruciferous, green, unique variety, vegetables",,https://cdn.madrasthemes.com/groceria/images/products/green-cauliflower.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, florets 300g",0,0,Nutriscore,A,0,0,
159,simple,cherry-tomato,,Cherry tomato,1,0,visible,"Bite-sized bursts of juicy, tangy flavor — salad-ready.","Tiny, vibrant, and bursting with sweetness, cherry tomatoes are a kitchen favorite — snackable raw or roasted to bring out their natural sugars.",,,taxable,,1,,,0,0,,,,,1,,3.25,4.25,Produce > Vegetables,"bite-size, cherry tomatoes, salad-ready, sweet, tomato",,https://cdn.madrasthemes.com/groceria/images/products/cherry-tomato.webp,,,,,,,,,0,,Size,"200g, 400g, 600g",0,0,Nutriscore,A,0,0,
